Time,Actual,Predicted
16.09,12.23268,12.2289295
8.809999,2.04,1.608213
11.03,13.669248,13.220329
15.089998,15.22199,14.96217
4374.568,45.78,44.98943
10.81,1.64,1.1370366
21.92,24.82,22.78251
7.9700003,2.24,2.1467376
15.089998,15.22199,15.194523
25.34,14.943012,14.269786
2887.6003,42.19,39.774403
22.289999,15.69,13.696238
8568.452,55.27,55.373383
13.930001,12.41,11.462363
6.0099998,2.97,2.291842
6.0099998,2.97,2.9157305
10.919999,3.25824,3.564408
14.800001,4.4822855,4.5823116
22.98,17.84,18.483875
22.98,17.84,16.968306
10.03,9.65,9.096348
12.79,4.018263,4.019438
21.98,17.23,17.85563
8.02,8.933609,9.525152
9.9800005,13.08,9.813608
8019.77,46.233334,49.02692
11.03,13.669248,12.494555
73.51,29.42,28.772985
15.810001,4.7154512,5.112138
25.34,19.246899,19.201008
673.2299,34.82,35.817585
8.02,7.12,6.148757
13.059999,11.72,11.30583
10.0,1.34,3.4132297
8.809999,1.19,1.1270835
169.21002,31.68,30.869598
20.109999,17.372845,16.671467
7.9000006,1.3034743,1.3452951
70.33001,29.82,30.241058
23.13,18.666784,17.802258
8568.469,55.27,55.19207
17.81,5.1771655,5.096499
13.479999,5.43,4.959884
9.0199995,11.202638,11.262575
73.51,29.42,30.55603
23.839998,6.5692344,7.025774
24.849998,6.6756287,6.5643578
5.8100004,0.86,1.0811993
10.0,1.34,1.6790284
8.02,4.95,5.9631386
671.4701,40.15,41.78264
8.910001,1.9903406,2.7504663
4373.571,45.243427,47.536922
7.98,8.89,9.142553
6.8099995,1.14,1.3328706
4297.851,49.63,49.6562
19.11,16.944387,17.444223
7.0200005,5.04,4.4251337
13.930001,12.41,12.408775
14.08,14.789248,15.0330105
2886.7703,17.312,18.569954
8.910001,1.8459166,3.0643206
7.9000006,1.3034743,0.76648337
2162.98,47.88,47.209377
13.479999,5.43,8.457734
7.0200005,4.04,4.686372
8020.168,18.25,17.775476
21.829998,6.1052113,6.7981634
169.21002,31.68,32.058243
11.03,9.9815,9.677372
169.21002,31.68,32.43775
338.94992,39.990856,40.066498
